orgUnit,period,dataElement,value,expected,detector,severity,confidence,explanation
Facility_001,202410,Malaria_tested,-340.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_033,202510,ANC_1st_visit,-94.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_027,202406,Malaria_confirmed,-354.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_027,202507,Malaria_treated,-263.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_028,202401,ANC_2nd_visit,-133.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_030,202407,Malaria_treated,-254.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_032,202402,ANC_2nd_visit,-108.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_032,202408,ANC_2nd_visit,-93.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_001,202501,Malaria_confirmed,-180.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_022,202502,ANC_2nd_visit,-69.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_035,202505,Malaria_treated,-311.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_038,202403,Malaria_confirmed,-127.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_039,202403,Malaria_treated,-104.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_040,202405,Malaria_tested,-797.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_040,202504,Malaria_treated,-331.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_040,202512,Malaria_confirmed,-181.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_025,202511,Malaria_treated,-54.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_026,202502,ANC_1st_visit,-127.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_007,202501,Malaria_treated,-115.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_019,202505,Malaria_confirmed,-389.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_009,202507,ITN_distributed,-57.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_011,202407,Malaria_tested,-1083.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
Facility_020,202506,Malaria_confirmed,-200.0,0.0,impossible_value,high,0.99,Negative value reported for a count data element
