orgUnit,period,dataElement,original_value,corrupted_value,error_type
Facility_024,202401,ANC_2nd_visit,111.0,1110.0,extra_digit
Facility_009,202505,Malaria_confirmed,268.0,-268.0,negative
Facility_040,202501,Malaria_confirmed,212.0,2120.0,extra_digit
Facility_036,202404,ANC_2nd_visit,192.0,250000.0,impossible_magnitude
Facility_009,202507,ITN_distributed,57.0,-57.0,negative
Facility_004,202403,Malaria_treated,223.0,1342.0,consistency_break
Facility_001,202410,Malaria_tested,339.0,-339.0,negative
Facility_039,202506,Malaria_treated,173.0,1730.0,extra_digit
Facility_006,202506,Malaria_tested,278.0,445.0,consistency_break
Facility_018,202507,Malaria_tested,337.0,3370.0,extra_digit
Facility_030,202505,Malaria_treated,298.0,2980.0,extra_digit
Facility_011,202407,Malaria_tested,1083.0,-1083.0,negative
Facility_021,202511,Malaria_tested,299.0,478.0,consistency_break
Facility_007,202501,Malaria_treated,115.0,-115.0,negative
Facility_007,202408,ITN_distributed,106.0,1060.0,extra_digit
Facility_039,202403,Malaria_treated,104.0,-104.0,negative
Facility_014,202407,Malaria_confirmed,458.0,4580.0,extra_digit
Facility_033,202509,Malaria_tested,356.0,3560.0,extra_digit
Facility_036,202506,ANC_1st_visit,347.0,437.0,transposition
Facility_020,202507,Malaria_confirmed,243.0,2430.0,extra_digit
Facility_004,202408,Malaria_tested,841.0,8410.0,extra_digit
Facility_005,202506,ANC_2nd_visit,35.0,53.0,transposition
Facility_038,202510,Malaria_confirmed,91.0,344.0,consistency_break
Facility_015,202511,ITN_distributed,117.0,1170.0,extra_digit
Facility_015,202407,ITN_distributed,75.0,-75.0,negative
Facility_014,202502,Malaria_treated,226.0,2260.0,extra_digit
Facility_035,202404,Malaria_confirmed,243.0,250000.0,impossible_magnitude
Facility_021,202404,ITN_distributed,77.0,770.0,extra_digit
Facility_034,202504,ITN_distributed,65.0,650.0,extra_digit
Facility_038,202403,Malaria_confirmed,127.0,-127.0,negative
Facility_025,202404,ITN_distributed,71.0,710.0,extra_digit
Facility_001,202502,Malaria_confirmed,188.0,1880.0,extra_digit
Facility_021,202505,Malaria_confirmed,205.0,2050.0,extra_digit
Facility_022,202403,Malaria_treated,131.0,311.0,transposition
Facility_015,202409,ITN_distributed,78.0,87.0,transposition
Facility_016,202404,ANC_2nd_visit,75.0,171.0,consistency_break
Facility_024,202504,ANC_2nd_visit,73.0,221.0,consistency_break
Facility_016,202407,ANC_2nd_visit,74.0,-74.0,negative
Facility_039,202403,ITN_distributed,60.0,250000.0,impossible_magnitude
Facility_023,202504,Malaria_confirmed,451.0,1485.0,consistency_break
Facility_036,202511,Malaria_confirmed,348.0,1162.0,consistency_break
Facility_032,202404,Malaria_confirmed,187.0,757.0,consistency_break
Facility_027,202507,Malaria_treated,263.0,-263.0,negative
Facility_025,202504,ITN_distributed,94.0,940.0,extra_digit
Facility_019,202505,Malaria_confirmed,389.0,-389.0,negative
