timestamp,action,subject,actor,reason,metrics,data_hash,from_stage,to_stage,target_stage,failures,restored_version
2026-09-10T09:20:59+00:00,register,bednet-behaviour-classifier:v1,ssemukuye.timothy,Five-category candidate: unfurl / enter / sleep / exit / fold. Worst class: Enter,"{'accuracy': 0.94701, 'balanced_accuracy': 0.77352, 'macro_f1': 0.77227, 'macro_precision': 0.773, 'macro_recall': 0.77352, 'worst_class_sensitivity': 0.34043}",6d8c5cc2b7ab431a,,,,,
2026-09-10T09:20:59+00:00,promote,bednet-behaviour-classifier:v1,ssemukuye.timothy,candidate evaluation,,,registered,staging,,,
2026-09-10T09:20:59+00:00,promotion_blocked,bednet-behaviour-classifier:v1,ssemukuye.timothy,propose 5-category model for production,,,,,production,"['balanced_accuracy 0.774 < 0.90', 'worst_class_sensitivity 0.340 < 0.75', 'accuracy-balanced gap 0.173 > 0.10 (headline metric is masking minority-class failure)']",
2026-09-10T09:21:08+00:00,register,bednet-behaviour-classifier:v2,ssemukuye.timothy,Four-category model: entry and exit merged after directional confusion established as a sensor limitation,"{'accuracy': 0.97761, 'balanced_accuracy': 0.9602, 'macro_f1': 0.96143, 'macro_precision': 0.9631, 'macro_recall': 0.9602, 'worst_class_sensitivity': 0.91667}",4646e9b1f89ed341,,,,,
2026-09-10T09:21:08+00:00,promote,bednet-behaviour-classifier:v2,ssemukuye.timothy,gate evaluation,,,registered,staging,,,
2026-09-10T09:21:08+00:00,promote,bednet-behaviour-classifier:v2,ssemukuye.timothy,meets balanced-accuracy and worst-class thresholds under grouped CV,,,staging,production,,,
2026-09-10T09:21:09+00:00,register,bednet-behaviour-classifier:v3,ssemukuye.timothy,Simpler model trialled in production,"{'accuracy': 0.96343, 'balanced_accuracy': 0.95754, 'macro_f1': 0.94751, 'macro_precision': 0.93862, 'macro_recall': 0.95754, 'worst_class_sensitivity': 0.91667}",4646e9b1f89ed341,,,,,
2026-09-10T09:21:09+00:00,promote,bednet-behaviour-classifier:v3,ssemukuye.timothy,trial simpler model,,,registered,staging,,,
2026-09-10T09:21:09+00:00,auto_archive,bednet-behaviour-classifier:v2,ssemukuye.timothy,superseded by v3,,,,,,,
2026-09-10T09:21:09+00:00,promote,bednet-behaviour-classifier:v3,ssemukuye.timothy,prefer interpretable model for MOH handover,,,staging,production,,,
2026-09-10T09:21:09+00:00,rollback_archive,bednet-behaviour-classifier:v3,ssemukuye.timothy,post-deployment monitoring showed worst-class sensitivity regression,,,,,,,
2026-09-10T09:21:09+00:00,rollback,bednet-behaviour-classifier:v2,ssemukuye.timothy,post-deployment monitoring showed worst-class sensitivity regression,,,,,,,2.0
2026-09-10T14:00:55+00:00,register,bednet-behaviour-classifier:v4,ssemukuye.timothy,Five-category candidate: unfurl / enter / sleep / exit / fold. Worst class: Enter,"{'accuracy': 0.94701, 'balanced_accuracy': 0.77352, 'macro_f1': 0.77227, 'macro_precision': 0.773, 'macro_recall': 0.77352, 'worst_class_sensitivity': 0.34043}",6d8c5cc2b7ab431a,,,,,
2026-09-10T14:00:55+00:00,promote,bednet-behaviour-classifier:v4,ssemukuye.timothy,candidate evaluation,,,registered,staging,,,
2026-09-10T14:00:55+00:00,promotion_blocked,bednet-behaviour-classifier:v4,ssemukuye.timothy,propose 5-category model for production,,,,,production,"['balanced_accuracy 0.774 < 0.90', 'worst_class_sensitivity 0.340 < 0.75', 'accuracy-balanced gap 0.173 > 0.10 (headline metric is masking minority-class failure)']",
2026-09-10T14:01:04+00:00,register,bednet-behaviour-classifier:v5,ssemukuye.timothy,Four-category model: entry and exit merged after directional confusion established as a sensor limitation,"{'accuracy': 0.97761, 'balanced_accuracy': 0.9602, 'macro_f1': 0.96143, 'macro_precision': 0.9631, 'macro_recall': 0.9602, 'worst_class_sensitivity': 0.91667}",4646e9b1f89ed341,,,,,
2026-09-10T14:01:04+00:00,promote,bednet-behaviour-classifier:v5,ssemukuye.timothy,gate evaluation,,,registered,staging,,,
2026-09-10T14:01:04+00:00,auto_archive,bednet-behaviour-classifier:v2,ssemukuye.timothy,superseded by v5,,,,,,,
2026-09-10T14:01:04+00:00,promote,bednet-behaviour-classifier:v5,ssemukuye.timothy,meets balanced-accuracy and worst-class thresholds under grouped CV,,,staging,production,,,
2026-09-10T14:01:05+00:00,register,bednet-behaviour-classifier:v6,ssemukuye.timothy,Simpler model trialled in production,"{'accuracy': 0.96343, 'balanced_accuracy': 0.95754, 'macro_f1': 0.94751, 'macro_precision': 0.93862, 'macro_recall': 0.95754, 'worst_class_sensitivity': 0.91667}",4646e9b1f89ed341,,,,,
2026-09-10T14:01:05+00:00,promote,bednet-behaviour-classifier:v6,ssemukuye.timothy,trial simpler model,,,registered,staging,,,
2026-09-10T14:01:05+00:00,auto_archive,bednet-behaviour-classifier:v5,ssemukuye.timothy,superseded by v6,,,,,,,
2026-09-10T14:01:05+00:00,promote,bednet-behaviour-classifier:v6,ssemukuye.timothy,prefer interpretable model for MOH handover,,,staging,production,,,
2026-09-10T14:01:05+00:00,rollback_archive,bednet-behaviour-classifier:v6,ssemukuye.timothy,post-deployment monitoring showed worst-class sensitivity regression,,,,,,,
2026-09-10T14:01:05+00:00,rollback,bednet-behaviour-classifier:v5,ssemukuye.timothy,post-deployment monitoring showed worst-class sensitivity regression,,,,,,,5.0
