feature,importance,feature_block
meanzover10vector_back,0.0783579383579384,10-epoch aggregate
stdvzover10vector_forward,0.0427205387205387,10-epoch aggregate
sumover10vector_forward,0.026417508417508395,10-epoch aggregate
sumover10vector_back,0.019696969696969678,10-epoch aggregate
forward_sumvector1,0.01333333333333333,forward lead
back_sumvector2,0.009696969696969704,backward lag
forward_stdvz8,0.00575757575757575,forward lead
forward_stdvz4,0.0018181818181818188,forward lead
back_sumvector7,0.0016363636363636359,backward lag
forward_stdvz6,0.00060606060606061,forward lead
forward_sumvector3,0.0004242424242424268,forward lead
forward_sumvector7,0.0,forward lead
forward_sumvector6,0.0,forward lead
back_sumvector9,0.0,backward lag
forward_sumvector9,0.0,forward lead
back_sumvector6,0.0,backward lag
back_sumvector3,0.0,backward lag
back_sumvector4,0.0,backward lag
back_sumvector10,-0.0018181818181818188,backward lag
forward_stdvz9,-0.0020000000000000018,forward lead
back_sumvector5,-0.0036363636363636377,backward lag
forward_sumvector2,-0.0040000000000000036,forward lead
back_stdvz5,-0.0040000000000000036,backward lag
back_stdvz1,-0.004848484848484847,backward lag
back_stdvz4,-0.005454545454545457,backward lag
back_stdvz10,-0.005454545454545457,backward lag
back_sumvector1,-0.005818181818181822,backward lag
back_stdvz6,-0.006000000000000005,backward lag
back_sumvector8,-0.006000000000000005,backward lag
forward_sumvector10,-0.008484848484848484,forward lead
stdvzover10vector_back,-0.009771043771043786,10-epoch aggregate
back_stdvz8,-0.010484848484848486,backward lag
stdvz,-0.011272727272727278,current epoch
forward_stdvz7,-0.011454545454545462,forward lead
forward_sumvector5,-0.011636363636363644,forward lead
forward_sumvector4,-0.012424242424242426,forward lead
back_stdvz9,-0.012727272727272709,backward lag
back_stdvz2,-0.01333333333333333,backward lag
forward_stdvz1,-0.01442424242424244,forward lead
forward_stdvz3,-0.01587878787878788,forward lead
forward_stdvz2,-0.01630303030303031,forward lead
forward_stdvz10,-0.01896969696969697,forward lead
sum_vectormagnitudes,-0.019090909090909103,current epoch
forward_sumvector8,-0.019999999999999997,forward lead
back_stdvz3,-0.024,backward lag
forward_stdvz5,-0.026787878787878795,forward lead
meanzover10vector_forward,-0.02680134924474542,10-epoch aggregate
back_stdvz7,-0.04042424242424243,backward lag
